epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,9831.14,0.87233,0.77388,1.25168,0.63374,0.51613,0.65473,0.41456,0.97679,0.84799,1.2905,0.00114949,0.00114949,0.00114949
93,9932.21,0.84704,0.77422,1.24885,0.72909,0.54032,0.69175,0.43627,0.99357,0.95174,1.32271,0.00113408,0.00113408,0.00113408
94,10027.8,0.88932,0.77783,1.27276,0.78628,0.45968,0.67338,0.42964,0.97857,0.89308,1.28003,0.00111864,0.00111864,0.00111864
95,10124.6,0.86271,0.73425,1.25727,0.61231,0.61139,0.69837,0.4348,1.0031,0.83433,1.29775,0.00110317,0.00110317,0.00110317
96,10220.7,0.80623,0.738,1.23356,0.67534,0.56452,0.67288,0.43169,1.00821,0.88131,1.2922,0.00108767,0.00108767,0.00108767
97,10314.6,0.8573,0.80134,1.26178,0.65204,0.65323,0.71672,0.4523,0.99137,1.273,1.27231,0.00107216,0.00107216,0.00107216
98,10408.6,0.8527,0.79386,1.23263,0.66256,0.60173,0.71107,0.45596,0.98878,1.058,1.26304,0.00105664,0.00105664,0.00105664
99,10502.1,0.89501,0.84981,1.27158,0.60708,0.59808,0.67018,0.42887,1.02927,0.92244,1.30883,0.0010411,0.0010411,0.0010411
100,10599.1,0.93124,0.86045,1.28195,0.73983,0.60484,0.71748,0.4419,1.02422,0.96717,1.35962,0.00102555,0.00102555,0.00102555
101,10698.2,0.87249,0.8265,1.27656,0.7137,0.64331,0.74211,0.4521,0.9888,0.80192,1.31228,0.00101,0.00101,0.00101
102,10796.8,0.81082,0.69006,1.20884,0.75769,0.55645,0.7114,0.45331,0.96343,1.16726,1.25652,0.00099445,0.00099445,0.00099445
103,10895.2,0.80334,0.7695,1.22158,0.72263,0.55645,0.69829,0.44224,1.00124,0.79902,1.29224,0.000978903,0.000978903,0.000978903
104,10998.9,0.84545,0.78421,1.2544,0.75883,0.57258,0.71356,0.4533,1.01464,0.89362,1.29967,0.000963365,0.000963365,0.000963365
105,11098.3,0.85126,0.80538,1.23698,0.79098,0.58065,0.73106,0.45574,1.0114,0.88257,1.28414,0.000947837,0.000947837,0.000947837
106,11197.7,0.853,0.74891,1.24831,0.77213,0.60484,0.73635,0.47565,0.97775,1.07849,1.26096,0.000932325,0.000932325,0.000932325
107,11297,0.83411,0.75242,1.24391,0.70945,0.53226,0.6734,0.43959,0.99929,0.96288,1.28463,0.000916833,0.000916833,0.000916833
108,11398.4,0.85506,0.74182,1.23767,0.79214,0.57258,0.73372,0.45757,1.01552,0.82009,1.28293,0.000901363,0.000901363,0.000901363
109,11498.4,0.78766,0.72698,1.20738,0.781,0.57523,0.73215,0.45625,0.99462,0.77426,1.28676,0.00088592,0.00088592,0.00088592
110,11595,0.87253,0.77924,1.24018,0.78012,0.62097,0.72883,0.44181,1.02162,0.97899,1.32369,0.000870508,0.000870508,0.000870508
111,11693.9,0.83814,0.75188,1.23695,0.69614,0.65323,0.72151,0.45394,0.95156,0.7762,1.23353,0.00085513,0.00085513,0.00085513
112,11796.2,0.81303,0.68986,1.2086,0.71321,0.67742,0.73226,0.46685,0.9788,0.74405,1.26383,0.00083979,0.00083979,0.00083979
